dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
-0.08452901989221573,0.08360378444194794,0.00969846360385418,-0.18840254843235016,-0.008457131683826447,0.21927151083946228,0.36879780888557434,-0.8286349177360535,-0.952549934387207,0.0
-0.12730619311332703,0.06835205107927322,-0.3513198494911194,0.0942859947681427,-0.7328256368637085,0.5075626373291016,0.32545748353004456,-0.5966745018959045,1.0,0.0
-0.017679499462246895,0.11749912053346634,-0.06950388103723526,0.17798158526420593,-0.415950208902359,-0.2734702229499817,-0.02741352654993534,0.04740554839372635,-0.4109806418418884,0.0
0.017032885923981667,-0.492382287979126,-0.20942991971969604,0.6696246862411499,0.528116762638092,-0.03307865187525749,0.2322729378938675,-0.714370846748352,-0.9948973655700684,0.0
-0.072500079870224,0.018033703789114952,0.1416991800069809,0.2229059487581253,0.13188709318637848,0.3005209267139435,-1.0,0.7877743244171143,0.37913087010383606,0.0
-0.0662325993180275,0.03454054147005081,-0.3467622399330139,-0.12575598061084747,1.0,-0.5172699689865112,0.5628085136413574,0.9903170466423035,0.3486179709434509,0.0
0.009862083941698074,0.07005991786718369,0.22138653695583344,-0.023170290514826775,-0.19456267356872559,-1.0,0.32075178623199463,-0.7198288440704346,0.7233002781867981,0.0
0.056317709386348724,0.10493224114179611,0.053299810737371445,0.5073177218437195,-0.980618953704834,-0.07951538264751434,0.7511168718338013,0.8997278809547424,-0.3495621383190155,0.0
-1.0,0.055433813482522964,0.5295147895812988,-0.5048924684524536,-0.6005842685699463,-0.11585061252117157,0.3484106659889221,1.0,-0.8167939186096191,0.0
0.56830233335495,0.2402094602584839,-0.5903982520103455,-0.2882331311702728,-0.05789775028824806,0.1963726431131363,-0.13613586127758026,0.0005027498700655997,-0.027878839522600174,0.0
1.0,0.2974967360496521,0.10315553843975067,-0.5434941649436951,-0.03755014017224312,0.162253737449646,0.172683984041214,0.5903095602989197,-0.14674554765224457,0.0
