dim_1,dim_2,dim_3
0.15714996923603028,-0.02965752277964216,0.0
-0.040694653667032954,0.045824402533142995,0.0
0.12178150788178488,0.019713986862815527,0.0
0.014237485648234727,-0.051792398598754334,0.0
0.1596579587672206,-0.028510878848762942,0.0
-0.01576904322216028,-0.0009175127349233003,0.0
0.1035205260735247,-0.008049038817606484,0.0
-0.10396558548530987,-0.03313803393857065,0.0
-0.009174531099076885,-0.8900293426517756,0.0
-0.02518523887321181,0.5801811874311487,0.0
-0.009586694555532906,-1.0,0.0
-0.16625374478801483,1.0,0.0
0.14677617353174643,-0.09508990080970303,0.0
-0.18350055695165815,-0.10542379093649283,0.0
-0.015143349290541203,0.262200673538189,0.0
-0.029649189254559345,0.11603687795994194,0.0
-0.030141091608860873,-0.21027365824924307,0.0
-0.3372796082240051,0.07619805910965663,0.0
-0.1093579354939273,-0.3105772808234707,0.0
-0.1219920259912889,0.09029119503199255,0.0
-0.050299883719142555,0.055200166489197955,0.0
-0.042985151427248174,0.7138142070170519,0.0
-0.06425155256350103,0.7215621904572833,0.0
-0.022300902037467565,-0.49851176569300176,0.0
-0.2582135291840736,-0.5440416786318594,0.0
-0.18676794467052768,0.30360793674260456,0.0
1.0,0.004240923047196456,0.0
0.0,0.0,0.0
0.15714996923603028,-0.02965752277964216,0.5
-0.040694653667032954,0.045824402533142995,0.5
0.12178150788178488,0.019713986862815527,0.5
0.014237485648234727,-0.051792398598754334,0.5
0.1596579587672206,-0.028510878848762942,0.5
-0.01576904322216028,-0.0009175127349233003,0.5
0.1035205260735247,-0.008049038817606484,0.5
-0.10396558548530987,-0.03313803393857065,0.5
-0.009174531099076885,-0.8900293426517756,0.5
-0.02518523887321181,0.5801811874311487,0.5
-0.009586694555532906,-1.0,0.5
-0.16625374478801483,1.0,0.5
0.14677617353174643,-0.09508990080970303,0.5
-0.18350055695165815,-0.10542379093649283,0.5
-0.015143349290541203,0.262200673538189,0.5
-0.029649189254559345,0.11603687795994194,0.5
-0.030141091608860873,-0.21027365824924307,0.5
-0.3372796082240051,0.07619805910965663,0.5
-0.1093579354939273,-0.3105772808234707,0.5
-0.1219920259912889,0.09029119503199255,0.5
-0.050299883719142555,0.055200166489197955,0.5
-0.042985151427248174,0.7138142070170519,0.5
-0.06425155256350103,0.7215621904572833,0.5
-0.022300902037467565,-0.49851176569300176,0.5
-0.2582135291840736,-0.5440416786318594,0.5
-0.18676794467052768,0.30360793674260456,0.5
1.0,0.004240923047196456,0.5
0.0,0.0,0.5
-0.8509163155104622,-0.018152299491156175,1.0
-0.05237895816389788,0.00995397009411595,1.0
-0.8727876557555939,0.008559889025332114,1.0
0.010139191644338089,0.035859544367203906,1.0
-1.0,-0.0032350487478267943,1.0
-0.0006364490899085442,-0.007581740520024859,1.0
-0.8514799872079923,0.016295100945448594,1.0
0.018965013467629164,-0.022374369795939566,1.0
