dim_1,dim_2
-0.8324300663225577,0.0
0.09563625354416506,0.0
-0.6847115943119494,0.0
0.9048983943199581,0.0
-1.0,0.0
1.0,0.0
-0.08181709514722214,0.0
0.5878842263145087,0.0
0.21288940213109822,0.0
0.1402518858379471,0.0
0.03509977681728209,0.0
0.17976680886260638,0.0
-0.8843953413948406,0.0
-0.4981921149608612,0.0
0.4472237447744363,0.0
-0.7856957071708858,0.0
0.8811409690556024,0.0
-0.06912437774131068,0.0
0.5868690418378499,0.0
-0.4071044786078578,0.0
-0.2238335874310038,0.0
-0.07441133929182858,0.0
-0.061227958935032904,0.0
0.3421330232003506,0.0
0.38274131639708686,0.0
0.31504715759295776,0.0
-0.8386431846937076,0.0
0.0,0.0
-0.8324300663225577,0.5
0.09563625354416506,0.5
-0.6847115943119494,0.5
0.9048983943199581,0.5
-1.0,0.5
1.0,0.5
-0.08181709514722214,0.5
0.5878842263145087,0.5
0.21288940213109822,0.5
0.1402518858379471,0.5
0.03509977681728209,0.5
0.17976680886260638,0.5
-0.8843953413948406,0.5
-0.4981921149608612,0.5
0.4472237447744363,0.5
-0.7856957071708858,0.5
0.8811409690556024,0.5
-0.06912437774131068,0.5
0.5868690418378499,0.5
-0.4071044786078578,0.5
-0.2238335874310038,0.5
-0.07441133929182858,0.5
-0.061227958935032904,0.5
0.3421330232003506,0.5
0.38274131639708686,0.5
0.31504715759295776,0.5
-0.8386431846937076,0.5
0.0,0.5
-0.5805674509219297,1.0
0.682593545231821,1.0
-0.87460487529116,1.0
0.7034566341571733,1.0
-0.07228798505371592,1.0
0.756843544165526,1.0
-0.38958509587594675,1.0
0.04569708335009909,1.0
