dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25
-0.08452901989221573,0.08360378444194794,0.00969846360385418,-0.18840254843235016,-0.008457131683826447,0.21927151083946228,0.36879780888557434,-0.8286349177360535,-0.952549934387207,-0.5895203351974487,-0.8794363737106323,-1.0,-0.35486137866973877,-0.20276102423667908,0.5051997900009155,0.28325676918029785,0.340498685836792,0.015263699926435947,0.006013105157762766,-0.1291380375623703,-0.037112828344106674,0.07229118794202805,0.5673374533653259,0.07076184451580048,0.0
-0.12730619311332703,0.06835205107927322,-0.3513198494911194,0.0942859947681427,-0.7328256368637085,0.5075626373291016,0.32545748353004456,-0.5966745018959045,1.0,0.5413801670074463,-0.12090341001749039,-0.517055094242096,-0.07449529320001602,0.20024722814559937,-0.6120606660842896,0.12728765606880188,0.002554268343374133,0.06852030009031296,-0.36826518177986145,0.08092750608921051,-0.08587579429149628,0.32902470231056213,0.5866562724113464,0.31710392236709595,0.0
-0.017679499462246895,0.11749912053346634,-0.06950388103723526,0.17798158526420593,-0.415950208902359,-0.2734702229499817,-0.02741352654993534,0.04740554839372635,-0.4109806418418884,0.15539057552814484,1.0,-0.8725629448890686,-0.31604254245758057,0.0321270227432251,0.46271106600761414,0.34618327021598816,0.17674605548381805,0.1599225252866745,0.07461388409137726,0.2949497401714325,0.24165235459804535,-0.418199747800827,-0.6056326627731323,-0.6014922261238098,0.0
0.017032885923981667,-0.492382287979126,-0.20942991971969604,0.6696246862411499,0.528116762638092,-0.03307865187525749,0.2322729378938675,-0.714370846748352,-0.9948973655700684,0.4798216223716736,-0.0009034184622578323,0.2595141530036926,0.7775669097900391,0.06123781204223633,-0.17435556650161743,0.032283660024404526,0.06647885590791702,-0.18803343176841736,-0.2219453901052475,0.17093345522880554,0.7770460247993469,-0.48882508277893066,-0.5546228885650635,0.7423452138900757,0.0
-0.072500079870224,0.018033703789114952,0.1416991800069809,0.2229059487581253,0.13188709318637848,0.3005209267139435,-1.0,0.7877743244171143,0.37913087010383606,-0.024345209822058678,-0.2807198464870453,-0.717869758605957,1.0,0.17181678116321564,0.40226104855537415,0.19520628452301025,0.35550543665885925,0.026039859279990196,-0.06153620406985283,-0.3555007874965668,0.06771008670330048,0.2747112810611725,0.13443803787231445,0.6444249749183655,0.0
-0.0662325993180275,0.03454054147005081,-0.3467622399330139,-0.12575598061084747,1.0,-0.5172699689865112,0.5628085136413574,0.9903170466423035,0.3486179709434509,0.08457417041063309,-0.06066948175430298,-0.5657255053520203,-0.2235395461320877,0.11879783868789673,-0.530049204826355,0.06974661350250244,0.011680735275149345,0.1940920352935791,0.24974459409713745,-0.3103817105293274,0.7758099436759949,-0.20923495292663574,-0.9080309271812439,0.05923084542155266,0.0
0.009862083941698074,0.07005991786718369,0.22138653695583344,-0.023170290514826775,-0.19456267356872559,-1.0,0.32075178623199463,-0.7198288440704346,0.7233002781867981,0.06688789278268814,-0.365024209022522,0.3261755108833313,0.3395141363143921,-0.2797742486000061,0.5321151614189148,0.38242653012275696,0.6071587800979614,0.27672162652015686,-0.06472211331129074,-0.013028228655457497,-0.05367906019091606,-0.34659543633461,-0.914939820766449,-0.7511856555938721,0.0
0.056317709386348724,0.10493224114179611,0.053299810737371445,0.5073177218437195,-0.980618953704834,-0.07951538264751434,0.7511168718338013,0.8997278809547424,-0.3495621383190155,-0.9480858445167542,-0.06576350331306458,0.31031936407089233,0.4451347589492798,0.13525885343551636,-0.012991496361792088,0.16091494262218475,-1.0,0.4651590883731842,-0.27932530641555786,0.24418208003044128,-0.13372167944908142,-0.5098937153816223,0.08360762894153595,0.00846635177731514,0.0
-1.0,0.055433813482522964,0.5295147895812988,-0.5048924684524536,-0.6005842685699463,-0.11585061252117157,0.3484106659889221,1.0,-0.8167939186096191,0.430890291929245,-0.06441107392311096,-0.09706597775220871,0.19303524494171143,-0.23224622011184692,-0.46791544556617737,-1.0,0.937882661819458,0.16031630337238312,-0.005372439976781607,-0.07519804686307907,-0.660159170627594,-0.10607489198446274,0.01778285950422287,0.054958660155534744,0.0
0.56830233335495,0.2402094602584839,-0.5903982520103455,-0.2882331311702728,-0.05789775028824806,0.1963726431131363,-0.13613586127758026,0.0005027498700655997,-0.027878839522600174,0.05041832849383354,-0.026179105043411255,-0.12103066593408585,0.4464847147464752,-1.0,-0.07566271722316742,-0.6057778000831604,0.4418106973171234,0.784428596496582,0.28425776958465576,-0.10208310931921005,-0.5326140522956848,-0.518989622592926,0.2427758425474167,0.3031725287437439,0.0
