dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
-0.31543603802378545,-0.08613046095422451,-0.13393933076887948,-0.17035139890040554,0.07215404179194909,0.0898653003294354,-0.37065572026947335,-0.2034382491597873,-0.04516811747483233,-0.3662182936021171,-0.28206863834932294,0.03330333020982521,-0.022475755945730466,0.021768067111018505,0.0
-0.3164024001375854,-0.08725917520637964,-0.13206421448286865,-0.17485439931944508,0.06794195465425089,0.09062715544943155,-0.3661491645896682,-0.2026461786767381,-0.044111302608435196,-0.36834009834519893,-0.27337555592836194,0.03055563439187204,-0.06103114074961556,0.04390341176511356,0.0
-0.31778997527299824,-0.0888858472871428,-0.12936077633938867,-0.18139670061640661,0.06188261862606812,0.09175777147346495,-0.3595991705845483,-0.20144535128822116,-0.04264113067394541,-0.3716092501434736,-0.26087646899024963,0.02667181581365621,-0.11934251257782658,0.07561196092578827,0.0
-0.31869781621580184,-0.08940697545554092,-0.12913605890430271,-0.1823519261477008,0.062089827572140585,0.09159380833628632,-0.35917295923262993,-0.20376311775511924,-0.04321810014853188,-0.3754020350324186,-0.26557553291925406,0.025273013913085757,-0.1224108405386827,0.06796009062230178,0.0
-0.31809204907171396,-0.08869067721913583,-0.1289467121178302,-0.18177102510291288,0.06148789923873841,0.0924081633067768,-0.3604981004133756,-0.20231906861312876,-0.0418987920146952,-0.37299994734583697,-0.26170678749694315,0.025375777453494574,-0.12366866087735535,0.08155793808606093,0.0
-0.307613634787422,-0.07910918390950847,-0.1509873666404575,-0.1360905007813928,0.09833943250508716,0.08646520954021433,-0.4025112964663605,-0.20029703675909602,-0.048104090678844885,-0.3316018450848958,-0.3485274478533313,0.05833897312954331,0.13600022191968383,-0.19439447407308638,0.0
-0.3066916858264605,-0.07919950802610655,-0.15222151767319708,-0.1323886424574976,0.1012551393100693,0.08513145811976332,-0.4045916817964027,-0.20293166357294987,-0.04826155638372358,-0.33583411111138217,-0.34923468753158804,0.054293184635361216,0.1337769892465103,-0.1677036991767473,0.0
-0.30728311165906075,-0.07902769214529078,-0.1515629565461022,-0.13457188381449164,0.09918742426477455,0.08580273471082078,-0.4034919187514672,-0.20152852256754378,-0.048039115007734605,-0.33236431405924427,-0.3491796207264955,0.0569664067448147,0.13771810740855814,-0.18256399688466773,0.0
-0.22601700609564168,0.7798314899390961,-0.9413033775371137,0.126395425700626,-1.0,-0.3722459944323634,-0.29946412389412486,-0.22492832391452566,0.05211371519613983,0.6466632997816462,-0.7267086475420936,0.23941539321788846,0.08628446898685015,0.08660655411443802,0.0
-1.0,0.09087418130542385,0.22407425181082408,0.29069689461589554,0.46442651316217265,-0.25221233571430646,1.0,-0.23250591089769296,0.18211126226089872,0.10531601792145184,-1.0,-0.09363552618961778,0.0706833484550429,-0.045774159117664776,0.0
-0.6248916499045974,0.6030851518232417,0.11667051331297154,1.0,-0.20163570833004849,0.05468314885231068,0.34385320748480397,0.7047896959626265,-0.5987447916592438,-0.476728977179673,0.3096530249554116,-0.05318876832856313,-0.21449790391810866,-0.14349803888334056,0.0
-0.4533822228728868,-0.1345974094116243,0.1135667925197108,0.472246295568856,-0.3154540956542434,-0.30512887986993237,-0.2621625679692633,-0.29066305888146765,0.266459489249248,0.6426960286604557,0.18423346930810086,-0.1606360672455852,0.7542525188909603,0.06775897795437201,0.0
