dim_1,dim_2,dim_3
0.2724609971046448,-1.0,0.0
-0.6470152735710144,1.0,0.0
1.0,-0.451758474111557,0.0
-1.0,-0.6314418315887451,0.0
-0.04010797664523125,0.10015392303466797,0.0
-0.520129919052124,-0.8890777826309204,0.0
0.5696552395820618,0.5253751873970032,0.0
-0.6742608547210693,-0.6644622683525085,0.0
2.9008635465288535e-05,5.2663945098174736e-05,0.0
2.7017997126677074e-05,-8.709340909263119e-05,0.0
-7.307844498427585e-05,-0.00040899351006373763,0.0
-8.865573181537911e-05,-0.0002515758096706122,0.0
7.252569776028395e-05,6.75390983815305e-05,0.0
0.00011422022362239659,3.0699251510668546e-05,0.0
1.4657389328931458e-05,0.00010805251076817513,0.0
-0.00020032000611536205,-9.178880281979218e-05,0.0
2.0286413928261027e-05,0.00016171138850040734,0.0
0.00028168538119643927,0.0002884446585085243,0.0
3.2510988603462465e-06,-0.0006721295649185777,0.0
-9.721319656819105e-05,-0.0007872364949434996,0.0
-1.8654269297257997e-05,-0.0006242080125957727,0.0
3.6704718695546035e-06,1.968755532288924e-05,0.0
-1.452001106372336e-05,-5.130970384925604e-05,0.0
8.805734069028404e-06,1.2099013474653475e-05,0.0
-7.385155186057091e-06,1.771811753314978e-06,0.0
-3.6391989851836115e-05,-0.00018102947797160596,0.0
4.6092849515844136e-05,6.516787107102573e-05,0.0
0.0,0.0,0.0
0.2724609971046448,-1.0,0.5
-0.6470152735710144,1.0,0.5
1.0,-0.451758474111557,0.5
-1.0,-0.6314418315887451,0.5
-0.04010797664523125,0.10015392303466797,0.5
-0.520129919052124,-0.8890777826309204,0.5
0.5696552395820618,0.5253751873970032,0.5
-0.6742608547210693,-0.6644622683525085,0.5
2.9008635465288535e-05,5.2663945098174736e-05,0.5
2.7017997126677074e-05,-8.709340909263119e-05,0.5
-7.307844498427585e-05,-0.00040899351006373763,0.5
-8.865573181537911e-05,-0.0002515758096706122,0.5
7.252569776028395e-05,6.75390983815305e-05,0.5
0.00011422022362239659,3.0699251510668546e-05,0.5
1.4657389328931458e-05,0.00010805251076817513,0.5
-0.00020032000611536205,-9.178880281979218e-05,0.5
2.0286413928261027e-05,0.00016171138850040734,0.5
0.00028168538119643927,0.0002884446585085243,0.5
3.2510988603462465e-06,-0.0006721295649185777,0.5
-9.721319656819105e-05,-0.0007872364949434996,0.5
-1.8654269297257997e-05,-0.0006242080125957727,0.5
3.6704718695546035e-06,1.968755532288924e-05,0.5
-1.452001106372336e-05,-5.130970384925604e-05,0.5
8.805734069028404e-06,1.2099013474653475e-05,0.5
-7.385155186057091e-06,1.771811753314978e-06,0.5
-3.6391989851836115e-05,-0.00018102947797160596,0.5
4.6092849515844136e-05,6.516787107102573e-05,0.5
0.0,0.0,0.5
-8.029944001464173e-05,-6.677921919617802e-05,1.0
-4.260247078491375e-05,-0.0002729106636252254,1.0
2.72322358796373e-05,1.9173474356648512e-05,1.0
6.255583139136434e-05,5.1176324632251635e-05,1.0
-4.001134948339313e-05,-4.083881503902376e-05,1.0
-4.762517710332759e-05,-1.1925772014365066e-05,1.0
8.013436854525935e-06,3.491465395200066e-05,1.0
-6.0705362557200715e-05,-0.00018465080938767642,1.0
