dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20
-0.9970311472725635,0.17121786062013578,0.13695174013604952,0.029776438513181715,0.004799846745443243,-0.00023612569547531233,0.0014730072525680773,-0.0002428388329524679,0.0003554832003986528,-4.4495279554906954e-05,3.0778427353791338e-06,-4.6522463200772334e-05,0.00016904698427718388,-5.0358571824916825e-05,2.376411953885506e-05,6.0637643994903546e-06,1.8370809042880692e-05,-7.251667108945531e-05,5.655516533858768e-06,0.0
-1.0,0.04671516848474328,0.04926563346776775,-0.004434249855858612,-0.0014026087014882966,0.0001223989612891496,-0.000865010466371997,7.643026228747626e-05,-0.00025584636921530113,1.932543776573088e-05,3.391614065078007e-06,1.1148406817977906e-05,-5.7904063604512655e-05,2.967117016175721e-05,-2.3258074771628857e-05,-7.889135072246584e-06,-8.964006793116758e-06,5.3303702679504624e-05,-5.715459291523414e-07,0.0
-0.9991872848312866,-0.14271441815339633,-0.020323827479984045,-0.0031799115199618454,0.00012298555371378258,-3.054125168547125e-05,0.0003234449542444107,-4.72814076496037e-05,7.644815418206086e-05,-1.197770586879067e-05,-2.5804361932683466e-06,-1.2087047533471887e-05,6.609605582049335e-05,-7.310591366097804e-06,-4.709824781695994e-06,-5.051045870763405e-06,5.218318057107387e-06,-1.98053762214886e-05,4.319370260387992e-06,0.0
-0.9967152853420421,-0.2608518453562412,-0.009396370264015113,0.0920330717275506,0.00033497555167744846,4.3001702084506794e-05,-0.00038608625296978927,1.7702395362861306e-05,-4.90282829137962e-05,1.4634146636796168e-05,1.388553061378955e-05,9.140363094508154e-06,-6.976119564162314e-05,3.966123633189627e-06,3.146496986117349e-05,2.4560086284634126e-05,-9.066823124123106e-06,3.0412231894848284e-05,-1.01495759406757e-05,0.0
-0.9985060806352407,-0.1616595401104283,-0.026340731178779754,-0.01171610256235732,0.10825738793571478,-0.005559659734066765,0.019065312457954904,0.0009489274955821494,-0.0019037633141165953,-0.00010735422844375202,-0.0006768540701944117,0.00044059253533707,-0.0004618173048315347,-0.0007602309507025993,-0.001035773301804856,-0.00017624624747251648,0.00014851657056349674,0.0011887209767416195,0.00014960982583820683,0.0
-0.9755433625419758,0.5236386503469458,-0.06183559584436883,-0.021576935512026857,0.05728723837488639,0.00046328033766890363,-0.0008575473404029376,-0.0011391725413891604,0.0011224464769546986,-4.174476977936203e-05,0.0003921870852483827,6.134748863133497e-05,-0.00013160009725731703,-6.265093038621728e-05,0.0004769927520932376,0.00035991735872417397,-7.012734173057983e-05,-1.3839864138274655e-05,-0.00012567324826142582,0.0
-0.9622758714782714,0.6495995439856691,-0.06526773993037184,0.04217950144750321,0.014443238051994685,0.00013253768308354687,-0.0011950495934856973,0.00012898704501662617,-0.00034084017301861145,-3.94600977900051e-06,-5.26840021226024e-07,-5.719327779196634e-05,-2.3245131974214084e-05,6.46223403536098e-05,-9.96383049466059e-05,-5.213938592916983e-05,1.9406225395274246e-05,-1.0627454801958188e-05,2.7270784703302206e-05,0.0
-0.9714105548251226,0.5683943482376912,-0.04481543941495335,0.008849824558081582,-0.020064553373444757,-0.00022818587167188585,0.0020442267340211465,-0.0001807032257783339,0.0003153369452500872,8.622502747184383e-06,-4.236552437504474e-05,3.100826695480818e-05,6.653064767696782e-05,-8.997053311279475e-05,3.791945272214691e-05,2.204199906862998e-05,-1.487508943289985e-05,2.3862693822801353e-05,-7.995050991856183e-06,0.0
-0.10349235688653005,0.12958618392164964,0.0891591877373105,-0.2894017205343887,-0.2105573247911472,0.08168234507969019,0.5077282257233127,-0.38885914242360653,0.07739021256820024,0.08576272322518398,1.0,0.880906864301086,0.08347072718797321,1.0,0.7917634667793352,0.0510877359894994,0.42249441411508215,-0.9225648381777896,-0.11159946946799969,0.0
0.06147248519593334,-0.03878713694180884,0.9757267703626199,-0.8316145155123666,-0.060799086024646204,0.44993180120151466,0.7016757475818165,1.0,0.8308691898225632,0.47063458677489645,0.467468758980018,-0.4078514359814538,-0.4219531670375095,0.016813877333033342,0.16444484446064123,0.049883465588302124,0.06433533319394161,0.015818486461546946,0.009279210522075086,0.0
