dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
-0.9357163310050964,-0.5434296131134033,-0.3450896441936493,0.8968008160591125,-0.012110244482755661,0.0
-0.9145824909210205,-0.5586281418800354,-0.38077348470687866,0.9245079755783081,-0.008049119263887405,0.0
-0.8839149475097656,-0.5748183131217957,-0.41605567932128906,0.9541608691215515,-0.002994443289935589,0.0
-0.864891529083252,-0.5805196762084961,-0.4194873571395874,0.971381664276123,-0.0003227743145544082,0.0
-0.8814785480499268,-0.5852011442184448,-0.4122247099876404,0.9398394823074341,-0.0021173832938075066,0.0
-0.9775370359420776,-0.5121532678604126,-0.371926486492157,0.7731835246086121,-0.020992770791053772,0.0
-0.9878469705581665,-0.48804131150245667,-0.3639446496963501,0.7362297177314758,-0.02435581386089325,0.0
-0.9816832542419434,-0.49592235684394836,-0.36603397130966187,0.7746694087982178,-0.02239350788295269,0.0
-0.12041925638914108,-0.12196119874715805,0.08752968162298203,0.24812762439250946,0.029602209106087685,0.0
-0.07806263118982315,-0.008308708667755127,0.9375476241111755,0.3577876091003418,1.0,0.0
0.03408391773700714,-0.19543424248695374,0.9140819311141968,0.44439128041267395,-0.053050629794597626,0.0
1.0,-0.017591344192624092,0.7634691596031189,-0.14913812279701233,0.009376485832035542,0.0
0.4135124981403351,0.10361888259649277,1.0,-0.033831022679805756,-1.0,0.0
-0.7767196893692017,-0.12137116491794586,-0.9154773354530334,1.0,-0.1207723394036293,0.0
-0.5962816476821899,-0.33919796347618103,-0.7851545214653015,0.3951881229877472,0.016971571370959282,0.0
-0.5065081119537354,-0.35470372438430786,-1.0,0.5107589960098267,-0.447884738445282,0.0
-0.7398449182510376,-0.34427809715270996,-0.8039661645889282,0.42664220929145813,-0.2997106909751892,0.0
-0.74820876121521,-0.4373391270637512,-0.8528480529785156,0.8144379258155823,-0.14985370635986328,0.0
-1.0,0.07913535088300705,-0.8322380781173706,0.08114293217658997,-0.1492178738117218,0.0
-0.8565443754196167,-0.24397915601730347,-0.7129326462745667,0.6315629482269287,-0.11257907748222351,0.0
-0.9492797255516052,0.07169528305530548,-0.8354652523994446,0.4655006229877472,-0.04079229012131691,0.0
-0.1452784538269043,0.13953277468681335,0.20106445252895355,-0.056310396641492844,0.021430302411317825,0.0
0.07322894036769867,-0.05139297619462013,-0.10079482942819595,-0.0173222366720438,0.013754254207015038,0.0
0.0778418630361557,0.16251133382320404,-0.031174343079328537,0.22837521135807037,0.02297964133322239,0.0
-0.015081873163580894,-0.20597191154956818,0.17202426493167877,0.08869892358779907,-0.030166441574692726,0.0
0.5720992684364319,-0.08198872208595276,-0.46853160858154297,0.5376324653625488,0.025855129584670067,0.0
0.7524596452713013,-1.0,-0.02355760522186756,0.3845643997192383,-0.0006397704710252583,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.9357163310050964,-0.5434296131134033,-0.3450896441936493,0.8968008160591125,-0.012110244482755661,0.5
-0.9145824909210205,-0.5586281418800354,-0.38077348470687866,0.9245079755783081,-0.008049119263887405,0.5
-0.8839149475097656,-0.5748183131217957,-0.41605567932128906,0.9541608691215515,-0.002994443289935589,0.5
-0.864891529083252,-0.5805196762084961,-0.4194873571395874,0.971381664276123,-0.0003227743145544082,0.5
-0.8814785480499268,-0.5852011442184448,-0.4122247099876404,0.9398394823074341,-0.0021173832938075066,0.5
-0.9775370359420776,-0.5121532678604126,-0.371926486492157,0.7731835246086121,-0.020992770791053772,0.5
-0.9878469705581665,-0.48804131150245667,-0.3639446496963501,0.7362297177314758,-0.02435581386089325,0.5
-0.9816832542419434,-0.49592235684394836,-0.36603397130966187,0.7746694087982178,-0.02239350788295269,0.5
-0.12041925638914108,-0.12196119874715805,0.08752968162298203,0.24812762439250946,0.029602209106087685,0.5
-0.07806263118982315,-0.008308708667755127,0.9375476241111755,0.3577876091003418,1.0,0.5
0.03408391773700714,-0.19543424248695374,0.9140819311141968,0.44439128041267395,-0.053050629794597626,0.5
1.0,-0.017591344192624092,0.7634691596031189,-0.14913812279701233,0.009376485832035542,0.5
0.4135124981403351,0.10361888259649277,1.0,-0.033831022679805756,-1.0,0.5
-0.7767196893692017,-0.12137116491794586,-0.9154773354530334,1.0,-0.1207723394036293,0.5
-0.5962816476821899,-0.33919796347618103,-0.7851545214653015,0.3951881229877472,0.016971571370959282,0.5
-0.5065081119537354,-0.35470372438430786,-1.0,0.5107589960098267,-0.447884738445282,0.5
-0.7398449182510376,-0.34427809715270996,-0.8039661645889282,0.42664220929145813,-0.2997106909751892,0.5
-0.74820876121521,-0.4373391270637512,-0.8528480529785156,0.8144379258155823,-0.14985370635986328,0.5
-1.0,0.07913535088300705,-0.8322380781173706,0.08114293217658997,-0.1492178738117218,0.5
-0.8565443754196167,-0.24397915601730347,-0.7129326462745667,0.6315629482269287,-0.11257907748222351,0.5
-0.9492797255516052,0.07169528305530548,-0.8354652523994446,0.4655006229877472,-0.04079229012131691,0.5
-0.1452784538269043,0.13953277468681335,0.20106445252895355,-0.056310396641492844,0.021430302411317825,0.5
0.07322894036769867,-0.05139297619462013,-0.10079482942819595,-0.0173222366720438,0.013754254207015038,0.5
0.0778418630361557,0.16251133382320404,-0.031174343079328537,0.22837521135807037,0.02297964133322239,0.5
-0.015081873163580894,-0.20597191154956818,0.17202426493167877,0.08869892358779907,-0.030166441574692726,0.5
0.5720992684364319,-0.08198872208595276,-0.46853160858154297,0.5376324653625488,0.025855129584670067,0.5
0.7524596452713013,-1.0,-0.02355760522186756,0.3845643997192383,-0.0006397704710252583,0.5
0.0,0.0,0.0,0.0,0.0,0.5
-0.38695430755615234,0.9429627060890198,0.06553709506988525,0.1378909796476364,-0.00011502364941406995,1.0
-0.5505104064941406,0.07955281436443329,0.9383325576782227,0.3631792664527893,-0.08499257266521454,1.0
-0.6392087936401367,0.39825743436813354,0.19895148277282715,0.026040712371468544,-0.10094820708036423,1.0
-0.5490071177482605,0.08290422707796097,0.8645739555358887,0.08738631755113602,-0.08462199568748474,1.0
-0.29641786217689514,1.0,-0.0990835502743721,0.1653931885957718,0.03735101968050003,1.0
-0.3451682925224304,-0.03214358165860176,0.43253713846206665,-0.789202094078064,0.015762781724333763,1.0
-0.3648235499858856,0.1580083966255188,-0.0534183531999588,-0.7819756269454956,0.020121930167078972,1.0
-0.4664178192615509,-0.023879677057266235,0.18713758885860443,-1.0,0.00810400303453207,1.0
